step_id,category,sub_category,step_title,step_description,safety_warning,estimated_time_min,skill_required
INST001,Foundation,Drainage Pump,Foundation Preparation,""Install pump on a level concrete base (300x300x100mm minimum). Use rubber anti-vibration pads under pump feet. Ensure base is higher than surrounding floor level to prevent pump submersion."",Improper foundation causes excessive vibration and premature bearing failure,30,User
INST002,Piping,Drainage Pump,Suction Pipe Installation,""Connect suction pipe (minimum 25mm diameter) with foot valve and strainer at water source. Use flexible hose if needed. Ensure all connections are airtight using Teflon tape and hose clamps."",Air leaks in suction line prevent proper priming and reduce performance,20,User
INST003,Piping,Drainage Pump,Discharge Pipe Installation,""Connect discharge pipe with non-return valve near pump outlet. Install gate valve for flow control. Support pipes independently - do not use pump body for pipe support."",Unsupported pipes stress pump casing and cause leaks,15,User
INST004,Electrical,Single Phase,Single Phase Wiring,""Wire motor according to nameplate diagram. Use 2.5mm² copper wire for up to 2HP 4mm² for 2-5HP. Install appropriate MCB (16A for up to 2HP 32A for 2-5HP) and ELCB (30mA)."",Incorrect wiring causes motor burnout. Always match wire gauge to motor rating,30,Electrician
INST005,Electrical,Three Phase,Three Phase Wiring,""Connect three-phase supply using proper cable size: 2.5mm² for up to 2HP 4mm² for 2-5HP 6mm² for 5-10HP. Install DOL or Star-Delta starter with overload relay. Verify correct phase sequence using phase sequence meter."",Wrong phase sequence causes reverse rotation and damage,45,Electrician
INST006,Priming,Self-Priming,Initial Priming,""Remove priming plug on pump casing. Fill casing completely with clean water until water overflows. Replace and tighten priming plug. Check for leaks before starting."",Never run pump dry - even brief dry running damages mechanical seal,5,User
INST007,Testing,All Pumps,Initial Start-Up,""Start pump and immediately check rotation direction (should match arrow on casing). Monitor for smooth operation unusual noise or vibration. Check discharge flow and pressure. Run for 10 minutes and verify temperature is normal."",Stop immediately if abnormal noise vibration or no discharge observed,15,User
INST008,Foundation,Sewage Pump,Sewage Pump Foundation,""Install on a stable concrete base (400x400x150mm minimum). Provide proper drainage around pump area. Ensure pump can be easily accessed for maintenance. Foundation must be level within 1mm."",Improper foundation in wet environment causes corrosion and instability,45,Technician
INST009,Piping,Sewage Pump,Sewage Piping,""Use minimum 32mm diameter pipes for 1-3HP 40mm for 3-5HP 50mm for 5HP+. Install full-bore gate valve. Slope discharge pipe minimum 1:100 to prevent settling. Use flexible coupling at pump connection."",Undersized pipes cause clogging and reduce pump life,30,Technician
INST010,Electrical,Sewage Pump,Sewage Pump Controls,""Install control panel with float switches or level sensors. Wire in DOL/Star-Delta starter with overload protection. Provide manual/auto selector switch. Include alarm for high level."",Control failures can cause overflow - always provide backup alarm system,60,Electrician
INST011,Foundation,Monoblock,Monoblock Foundation,""Install on rigid concrete base (450x450x150mm) with anchor bolts. Base must be perfectly level. Use grouting compound to fill gaps. Allow 24 hours curing before operation."",Vibration from improper foundation reduces bearing life by 50%,60,Technician
INST012,Piping,Monoblock,Monoblock Piping,""Install foot valve at suction (max 7m depth). Use 32mm minimum suction pipe 25mm discharge. Keep suction pipe short and straight. Install pressure gauge and non-return valve on discharge."",Long or bent suction pipes cause cavitation and poor priming,25,User
INST013,Testing,Monoblock,Performance Testing,""After installation measure flow rate using bucket test. Check discharge pressure with gauge. Compare against pump curve. Run for 30 minutes and check bearing temperature (should not exceed 60°C)."",High bearing temperature indicates misalignment or lubrication issues,30,Technician
INST014,Foundation,Multistage,Multistage Pump Foundation,""Install on rigid concrete base (500x500x200mm) with anchor bolts. Grouting required for proper alignment. Must be isolated from structural vibrations. Foundation should extend 150mm beyond pump footprint."",Misalignment in multistage pumps causes rapid wear of all stages,90,Professional
INST015,Piping,Multistage,Multistage Piping,""Install suction pipe with gradual reducer (no sudden contractions). Discharge pipe must have expansion joints for thermal expansion. Install pressure relief valve. Provide isolation valves for maintenance."",Sudden pressure changes damage multistage seals and impellers,45,Technician
INST016,Electrical,Multistage,Multistage Controls,""Install VFD (Variable Frequency Drive) if pressure control needed. Wire pressure transducer for feedback. Provide soft-start or Star-Delta to reduce starting current. Include pressure switch for auto cut-off."",Direct online starting of multistage pumps causes water hammer,75,Professional
INST017,Commissioning,All Pumps,Initial Commissioning,""Check all bolts tight. Verify correct rotation. Prime system completely. Start pump and gradually open discharge valve. Monitor amp draw - should not exceed nameplate rating. Check for leaks."",Rapid valve opening causes pressure surge and potential damage,20,Technician
INST018,Documentation,All Pumps,Record Keeping,""Record installation date initial readings (amps pressure flow). Take photos of installation. Keep pump nameplate details wiring diagram and warranty card. Schedule first service."",Proper records help troubleshooting and warranty claims,10,User
